parameter,value_low,value_central,value_high,unit,confidence,source,notes
gc_thickness_cancer,100.0,200.0,500.0,nm,MODERATE,"Paszek 2014, Buffone 2013",MDA-MB-231 and other cancer lines
gc_thickness_nk,50.0,100.0,200.0,nm,LOW,Estimated from lymphocyte data,NK-92 specific measurement needed (Phase 1 Exp #1)
peg2000_flory_radius,6.5,7.1,7.7,nm,HIGH,Calculated: 0.76 * 45^0.588,"N=45 monomers, a=0.76nm, v=0.588"
peg2000_tethered_extension,10.0,12.0,15.0,nm,MODERATE,Kenworthy 1995; Wong 1997,"Mushroom regime, 1.5-2x R_F"
peg2000_max_extension,15.8,15.8,16.0,nm,HIGH,Calculated: 0.35nm/monomer * 45,Contour length with bond angle correction
peg5000_flory_radius,12.0,12.8,13.5,nm,HIGH,Calculated: 0.76 * 114^0.588,N=114 monomers
peg5000_tethered_extension,20.0,25.0,30.0,nm,MODERATE,Extrapolated from PEG2000,Mushroom regime
peg5000_max_extension,39.0,39.9,40.0,nm,HIGH,Calculated: 0.35nm/monomer * 114,Contour length
compression_factor,0.5,0.6,0.7,fraction,SUPERSEDED,MCK legacy assumption (SUPERSEDED),Retained for historical A1 sweep only; TL-43 confirmed no paper measures 30-50% compression under cell contact. Current physics uses Alexander-de Gennes force-dependent compression (TL-39 / notebooks/brush_compression.py); polydisperse extension in TL-47. Do not cite this row.
azide_height_above_membrane,10.0,30.0,50.0,nm,LOW,Estimated from glycoprotein chain lengths,On sialic acid residues; CRITICAL unknown
spaac_k2,0.31,0.5,0.96,M-1s-1,HIGH,"Agard 2004; Wang & Mooney 2020 Table 1 (range 0.31-0.96)",DBCO-azide; range tightened from Nat Chem review
iedda_k2,1000.0,5000.0,30000.0,M-1s-1,HIGH,"Blackman 2008, Taylor 2011",Tetrazine-TCO
azide_density_ac4manaz,1000000.0,5000000.0,10000000.0,per_cell,HIGH,"Wang 2017, Niu 2024, Wang & Mooney 2020 (10^8-10^9 range), Yang 2024","50 uM, 72h treatment; MGE gives 10^8-10^9 sites/cell vs 10^4-10^5 for natural receptors (Wang & Mooney 2020 p.1102)"
azide_density_dclaam,5000000.0,9000000.0,15000000.0,per_cell,HIGH,"Wang 2017 Supp Fig 8 reported labelling conditions; 9.0×10⁶ azides/cell derived by us","UPDATED 2026-05-12 TL-18 to 9.0×10^6 central, DERIVED from Supp Fig 8 reported labelling conditions: (7.5 ng/mL × 200 µL) / 100,000 cells × N_A / 983.78 g/mol = 9.0×10^6 azides/cell on LS174T at 200 µM DCL-AAM × 48h. SOFTENED 2026-06-12 (W9/meta-review): the calibration ARITHMETIC is ours; the caption confirms the experimental conditions but does NOT contain the arithmetic itself. Previous range 10^6-10^7 was approximate. Data: data/digitized/wang2017_supp8_azide_density.csv."
dclaam_selectivity_enzymatic_invitro,2.5,3.8,5.5,ratio,HIGH,"Wang 2017 Fig 3d + Supp 6b + Supp 5d — three independent panels, all converge","UPDATED 2026-05-12 TL-18: Pooled 4 cancer (LS174T, 4T1, MCF-7, HepG2) × 3 normal (MCF-10A, HBEC-5i, IMR-90) Wang DCL-AAM data = 3.82x ± 1.10 SD (range 2.27-5.76x). Combined with TL-17 Supp Fig 5d Naph-Lys (3.71x pooled), both assays agree on ~3.7-3.8x enzymatic-only selectivity. Sources: data/digitized/wang2017_fig3d_selectivity.csv, wang2017_supp6b_cancer_normal.csv, wang2017_suppfig5d_naphlys.csv. SCOPE CAVEAT (TL-33, independent review 2026-07-03): 3.8x is MEASURED on Wang's panel (4-5 common-carcinoma lines vs 3 LOW-enzyme normals: fibroblast IMR-90, brain endothelium HBEC-5i, breast epithelium MCF-10A). It is the selectivity for tumours over-expressing BOTH enzymes. The gate is a SOFT AND (TSA HDAC-inhibitor leaves ~43%, Z-FY-CHO CTSL-inhibitor leaves ~57% of cancer signal in Supp 5d - neither zeroes it), so single-enzyme-elevated tumours retain only ~1.5-2x (single-enzyme difference), not the multiplicative 3.8x. Normal off-target risk is UNTESTED for high-baseline tissues (heart/muscle/brain if a Class II HDAC processes Lock 1; kidney; activated immune cells). Confidence stays HIGH for the value on Wang's panel; the generalisation beyond that panel is the flagged uncertainty. See docs/MCK_Enzyme_AND_Gate_Analysis.md."
dclaam_selectivity_warburg_amplifier,1.0,3.0,10.0,fold,LOW,"Vander Heiden 2009 (Warburg effect); FDG-PET clinical literature (cancer glucose uptake 2-10x normal tissue)","Additional metabolic flux amplification in Warburg-high tumours (pancreatic, GBM, some TNBC) BEYOND the enzymatic baseline measured by Wang 2017 on standard cancer cell lines. ESTIMATED, not directly measured for DCL-AAM. Low confidence; ranges from 1x (Warburg-equivalent tumour) to 10x (Warburg-extreme glioblastoma). Multiplied with dclaam_selectivity_enzymatic_invitro to give total selectivity."
